Pubchem_ID,taste_cluster,SMILES
62897,0,CC(=C)C1=NC=CN=C1
6437578,0,CC(=CCCC(=CC1OCC(O1)CO)C)C
10882,3,CCCCC(=O)OCC
62583,3,CCCCC1CCCCC(=O)O1
71407321,4,CCCCCCC=CCC(=O)OCC
5352837,4,CCC=CCCCCO
7461,0,CC1=CCC(=CC1)C(C)C
549544,7,CCCCCCCCC(C(=O)OC)O
61524,2,CCCCCCCCC#CC(=O)OC
5366203,3,CCCCC(C=CC)O
11344071,4,CC(C)(C)C(=O)OCC=C
94077,3,CCCC(=O)OC1CC2(CCC1C2(C)C)C
111509,1,CC(=O)CCO
95136,1,CCOC(C1=CC2=C(C=C1)OCO2)OCC
11406,3,C=CCOC(=O)C1=CC=CC=C1
38762,6,CCCCCCCCCCCCCCC(=O)OCC
109418,0,CC1CCC(C(C1)C)CO
60997,0,CC1=CC=C(C=C1)OC(=O)CC2=CC=CC=C2
14519,1,CC1=CC(=C(C=C1)OC)O
54675810,5,C(C(C1C(=C(C(=O)O1)O)O)O)O
562563,3,C=CCC(C=O)C1=CC=CC=C1
3019775,2,CCC(C)C(=O)OCCC(=C)C
98218,4,CCCC1OCC(O1)C
20200,3,CCC=CCC(=O)O
5283348,2,CCCC=CCCCCC=O
5363491,7,CC=CC=CCOC(=O)C
223944,3,CCCCOC(=O)C(C)OC(=O)C
12391,0,CCCCCCCCCCCCCCC
87986756,2,CC1=CC(C(CC1)C(C)C)C=O
53445325,4,CCCCCC=C(C)O
94310,0,CCCCC(CC)COC(=O)C1=CC=CC=C1
53422437,2,CCCCCOC(CCC)OCC
4925262,1,C1CC(OC1)COC(=O)C=CC2=CC=CC=C2
14745448,3,CCCCCCOC(=O)CCC(=O)C
80345,1,CCOC1=CC=C(C=C1)CO
5363203,4,CCCCC=CCOC(=O)C
5356256,3,CCCCCOC(=O)C=CC
643779,3,CC(=CCCC(=CC=O)C)C
11513,4,CCCC(CCC)O
61130,0,CC1(C2CC=C(C1C2)C=O)C
10353,0,CC1CCC(CC1)C(C)(C)O
54343029,6,CCCCCCCCCC=CC=CC=CC=O
11006,0,CCCCCCCCCCCCCCCC
106788,0,CCCCCCCCCC(C)C(OCC)OCC
16666,0,CC1CCC(C(C1)O)C(C)C
5363817,0,CC1=CCCC(C1C=CC(C)O)(C)C
6050,7,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
7288,3,CCC(=O)CC
5705112,1,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2
15336,4,CCCCCC1OCC(O1)C
13097902,0,CCNC1=CC=CC=C1C(=O)OC
10405,2,CCCCC(=O)CCCC
80454,3,CC(C)C(=O)OCC1=CC=CO1
8121,1,CC(=O)OCCOC(=O)C
10583,0,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C
33960,0,CCCCCC1=CC=CC(=O)O1
8257,3,CC(C)(C=C)O
93649,0,COC1=C(C=CC(=C1)CC=C)OCC2=CC=CC=C2
8164,4,CCCCCCCCOC(=O)C
85686435,6,CCCCCC=CC(=O)OCCC
18938,2,CC(CCO)CC(C)(C)C
5362814,2,CCC=CCCC=O
16582,7,CC(C)COC1=CC2=CC=CC=C2C=C1
5355293,3,C1CCCC=CCCCCCCOC(=O)CCC1
8103,3,CCCCCCO
10362,0,CC1CCC(CC1=O)C(C)C
443159,0,CC1CCC(C(=O)C1)C(C)C
6436582,0,CC1=CCCC(=C)C=CC(CC1)C(C)C
142775203,3,CCC(COC(=O)C)C(=O)OC
5367530,0,CCCCCCCC=CC=CC=O
5282109,4,CC(=CCCC(=CCOC=O)C)C
61092,4,CC(CCCC(=C)C)CCOC=O
4574094,4,CCCCCC=C1CCCC1=O
170977,0,CCCCCCCC(C=C)O
6435839,2,CCCCCCCOC(=O)C=CC1=CC=CC=C1
87466,2,CCCC1=NC=CN=C1
579338,0,CCN1C=CC=C1C=O
31954,3,CCC(=O)OCCOC1=CC=CC=C1
7921,1,CC1CCC(=O)O1
14297102,1,CCC(C)CCCCC=O
61235,4,CCCCCCC(=O)CC
243783,7,CCCC(=O)OC1CCCCC1
7150,7,COC(=O)C1=CC=CC=C1
3015865,3,CC1=CCC(C1(C)C)C(C)OC(=O)C
88453,3,CCCCCOC(=O)CCC(=O)C
117385,2,CCOC(C)(C)C1CCC(=CC1)C
93081,4,CC1CCC(C2C13C2C(=C)CC3)C(C)C
219672,3,CC(C)CC(=O)CC1=CC=CC=C1
7909,4,CC(C)CC(=O)C
79310,1,COCC1=CC=C(C=C1)O
22928293,0,CCC1(COC(=O)O1)C
166371,3,CCCCCCCCCCOC(=O)CC(C)C
7731,1,CC1=CC=C(C=C1)OC
13669,1,CC(=O)C1=CC=C(C=C1)C(C)(C)C
74507,3,CCCOC(=O)CC(=O)C
8868,4,CCOC(=O)CC(=O)C
61670,0,CC1=C2C(=CC=C1)N=CC=N2
638014,3,CC1=C(C(CCC1)(C)C)C=CC(=O)C
62900,0,CCCCC1C(CC(=O)O1)C
109319,7,CC1CCC(C(C1)OC(=O)C(C)C)C(C)C
91604,0,CC(C)(CCCC1=CCC(CC1)C=O)O
5280536,0,COC1=C(C=CC(=C1)C=CC=O)O
8857,0,CCOC(=O)C
31291,6,CCCCCCCCCCCCCC=O
66193,0,CC(C(C)OC(=O)C)OC(=O)C
20357,4,CCCCCCC1OCC(O1)C
6568,0,CCC(C)O
5385520,4,CCCCC(=CC1=CC=CC=C1)C=O
638500,2,CC(=CCCC(=CCCC(=CCOC(=O)C)C)C)C
54676860,5,C(C(C1C(=C(C(=O)O1)O)O)O)O
6873,1,CC(C)COC(=O)C1=CC=CC=C1O
6306732,4,CCC=CCCOC=O
87927,2,CCC=CCCC(=O)C
8768,0,C1=CC(=C(C=C1C=O)O)O
22556,3,CCCCCCCCCCC(=O)C
7654,7,CC(=O)OCCC1=CC=CC=C1
62069,2,CCC1=NC(=C(O1)C)C
287439,3,CC(C)CC(=O)OC1CCCCC1
5383810,7,CC=CC=CCOC(=O)C(C)C
61715,2,CC(C)CC1=CN=CC=C1
8047,6,CCCCCCCCCCCCCC(=O)OCCCC
5365976,7,CC1=CCCC(C1C=CC(=O)CCC=C)(C)C
7043,1,COC1=CC=CC=C1OC
14104,0,CC1=CC(=C(C=C1)C(C)C)OC
81784,7,CCOC(=O)C1=CC=CC=C1OC
261,4,CCCC=O
109095,3,CCCCCCCCC(=O)OCCCCC
5364778,4,CCCC=CC(=O)OCC
61516,3,CCC(C)(CCC1=CC=CC=C1)O
5318516,0,CCCCCC=CC=CC(=O)NCC(C)C
12756,1,CCC1CCC(=O)O1
61167,4,CCCC(=O)OCC1=CC=CO1
10364,0,CC1=C(C=C(C=C1)C(C)C)O
15037,0,C1=CN(C=C1)CC2=CC=CO2
3020407,2,CCOC(CC(C)C)OCC(C)C
14529,0,CC1=CC=C(C=C1)C(C)(C)O
61290,2,CC(CCC=C(C)C)CC(=O)OC
5357159,7,CC(C)C(=O)OC(C)(CCC=C(C)CCC=C(C)C)C=C
229888,4,CCCCCCCC(=O)OCCC1=CC=CC=C1
7045,0,C1=CC=C2C(=C1)N=CC=N2
61696,1,CC(=O)OC1C(C2CCC1(C2)C)(C)C
10883,4,CCOC(=O)CCC(=O)C
289,0,C1=CC=C(C(=C1)O)O
3017783,3,CCOC(=O)CC(C)CC(C)(C)C
81006,3,CCCCCCCCC(=O)OCCC
5282726,0,CCCCCC=CCCC(=O)O
5283316,4,CCCCC=CC=O
6436990,4,CCC=CCCOC(=O)C=CC
88454,3,CCCCCCOC(=O)CC
517959,3,CCCOC(=O)CC(=O)OCCC
62911,1,CC(CCC1=CC=CC=C1)C=O
84825,0,CC1=C(OC=C1)CC=C(C)C
556916,0,C1=COC(=C1)COC=O
5358374,2,CCC(=O)C=CC
13654,7,CC(C)OC(=O)C1=CC=CC=C1
572534,0,CCCCCCC(=O)OC1=CC=C(C=C1)C
92083,1,CCC=CC=CC=CC=O
61997,2,CC(=CC(=O)OCCC1=CC=CC=C1)C
10329,1,C1COC2=CC=CC=C21
23368,3,CC(C)OC(=O)CCCCC(=O)OC(C)C
27460,0,CCC1=CN=C(C(=N1)C)C
7341,0,CCCC(C)C(=O)O
61634,0,CC1CC(C(=O)C1=O)C
18467,2,COC1=NC=CN=C1
140045960,2,CCCCCCOC(CC(C)C)OCCCCCC
86782,3,CCC(C)CC(CC)O
6435833,7,CC=CC=CC(=O)OCC=C
69278,0,COC1=CC=NC=C1
25612,0,C=CCCCCCCCCO
129717465,2,CCCCCC=CC=CC=CO
5355850,3,CCC(=O)OCC=CC1=CC=CC=C1
7616,0,CCCN(CCC)CCC
5355414,3,COC(=O)C=CC1=CC=CO1
5280598,1,CC(=CCCC(=CCCC(=CC=O)C)C)C
442482,0,CC1=CCC(C=C1)C(C)C
6985,1,CC1=CC(=C(C=C1)C(=O)C)C
118823,1,CC(C)CCN=CCC(C)C
11450,0,CC(C)(C)C1=CC(=CC=C1)O
11569,1,COC1=CC=CC(=C1)C=O
6005821,2,CCCCCC(=CC1=CC=CC=C1)C(OC)OC
109183,2,CCCCCCCCCC(C)C(OC)OC
53424309,0,CCCCCCCC=C(CCCCCC)C=O
155007,1,CC(C=O)C1CCC(O1)(C)C=C
57357659,2,CCCCC=CC1C(CC(=O)O1)C
10989,4,CC(C)CCOCCC(C)C
44443281,4,CC=CC=CC(=O)OCCC(C)C
5280802,1,COC1=CC(=CC(=C1O)OC)C=CC=O
82584,3,CCCCC(=O)OCC1=CC=CC=C1
5271566,3,CCOC(=O)C=CC(=O)OCC
17121,3,CCCCCC(C=C)OC(=O)C
92779,3,CC(C)CC(C(=O)O)O
4056868,4,CCC=C(C)C(=O)OC
8835,7,CCCC(=O)OCCC(C)CCC=C(C)C
69154,1,COC1=CC=CC=C1CO
14514,0,CC1=CC=C(O1)C(=O)C
637511,0,C1=CC=C(C=C1)C=CC=O
6435828,0,CC(=CC1=CC=CO1)C=O
575426,4,CCCCOC(=O)C=CCCC
5363741,2,CC(=O)C=CC1C(=C)CCCC1(C)C
349945,3,CCCCCC(=O)OCC(C)OC(=O)CCCCC
110760,7,CCCCCC(=O)OC1CC(CCC1C(C)C)C
80388,3,CCCCCC(=O)OC1CCCCC1
7136,7,CC(=O)OC1=C(C=C(C=C1)CC=C)OC
12266,0,CC1=CC=C(O1)C
10315,7,CCCC(=O)C1=CC=CC=C1
10975,0,CC(C)(CCCC(=C)C=C)O
5463904,4,CCCCCCCC=CC(=O)OCC
5610,0,C1=CC(=CC=C1CCN)O
61159,1,CC1=CC=CC=C1OC(=O)C2=CC=CC=C2O
103310,0,CCC(=O)OCCCCCCC(C)C
16205802,3,CCCC(=O)OC1=C(OC=CC1=O)CC
106158,1,CCOC(CCCCCC(C)C)OCC
7792,1,CC(C)CCCC(C)CCO
5352974,4,CCCCC(=O)OCC=CCCC
62592,4,CCCCCCCOC(=O)CCC
13204,1,CC1CCCC(=O)O1
94164,1,CC(=CCCC1(C2CC3C1(C3C2)C)C)C
11508,4,CCC(C)CCO
7685,3,CC1=CC=C(C=C1)OC(=O)C(C)C
3017624,0,CC(COC)C1=CC=CC=C1
9027,1,CCC(C)CCC(C)(CC)O
3018500,3,CCCCCC(C)(CC(C)C)O
442495,0,CC1CCC(=C(C)C)C(=O)C1
22386,0,CCCC(C)O
5356250,1,CCOC(C=CC1=CC=CC=C1)OCC
7997,3,CCCOC(=O)C
22011447,2,CCCCCC(OCCCCC)OCCCCC
97895,3,CCOC(C)OC(=O)C
73604801,2,CCCCC=COC(=O)C=CC1=CC=CC=C1
85431481,4,CCCCC=COC(=O)C1=CC=C(C=C1)OC
5282729,4,CCCCCCCCCC=CC(=O)O
31260,0,CC(C)CCO
13468584,3,CCC(C(=O)OC)OC(=O)C
43263,4,CCCC(C)OC(=O)CCC
5352770,4,CCCC=CCCC(=O)OCC
78067165,3,CCC(C(=O)OCC)OC(=O)C
8471,0,CCN(CC)CC
221069,7,CCCOC(=O)CCC(=O)C
66774,0,COC(=O)CO
104170,3,CCCCCCCCCCOC(=O)CCCCC
31231,0,CC(=O)CC1=CC=C(C=C1)OC
10869,3,COCC1=CC=CC=C1
62378,3,CCCCCC1=C(CCC1=O)C
3018221,2,CCCCCCCCC=COC
11420,0,CC1=C(N=CC=C1)C
7478,1,COC1=CC=C(C=C1)C(=O)O
8361,3,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O
8697,3,CCCCC(CC)C(=O)O
30248,1,CC1CCC(CC1OC(=O)C)C(=C)C
85730,1,CC1C(=O)C=C(O1)C
79782,1,COC1=CC=C(C=C1)CC=O
85755,0,CC1=CCC(CC1)C(C)(C)OC
7632,1,CC(C)(CCC1=CC=CC=C1)O
522214,4,CCC(C)C(=O)OC(C)C
163588,3,CCCC(C)COC(=O)C(C)CCC
7820,4,COC(=O)CCC(=O)OC
226912,3,CCCC(C)C(=O)OCCC(C)C
288227,0,CC1CCC=C2C1(CC(CC2)C(=C)C)C
7945,3,CCOC(=O)CC(C)C
101549,0,CC1CC(C=C(C2C1CC(=C(C)C)C2)C)O
5283361,0,CCCCCCCCCC=CC=O
6826,1,CNC1=CC=CC=C1C(=O)OC
75836,7,CCCCCCCCCOC(=O)CCC
50608,4,CCCCC=CCC(=O)OC
21363,0,C1CCC(CC1)CC(=O)O
6435837,7,CC1=CCC(CC1)C(C)(C)OC(=O)C=CC2=CC=CC=C2
23376,7,CC(=O)CC(=O)OC1CCCCC1
6428442,0,CC(=C)C1CCC(=C)C(C1)O
8419,1,COC1=C(C=C(C=C1)C=O)OC
61464,2,CC(C)(CC1=CC=CC=C1)OC=O
637564,4,CC=CC=CC=O
520148,4,CCC(C)C(=O)OCCC1=CC=CC=C1
104487,4,CCCCCCCCCCCC(OCC)OCC
31246,4,CCCC(=O)CCC
11030188,0,CC(=C)C1CC2C(O2)(C(=O)C1)C
71364274,6,CCCCCCCCCCCC(=O)OC(C)CCC
61590,3,CCC(=O)CC(=O)C(=O)OCC
6428088,7,CCCCC(=O)OCC1=CC=C(C=C1)OC
249494,1,CC(CCCC(C)(C)O)CCO
2733294,4,CCCC=CCOC(=O)C
6437163,3,CC(=CCCC(=CCOC(=O)C1=CC=CC=C1N)C)C
8467,1,CCOC1=C(C=CC(=C1)C=O)O
12777,0,CCCC1CCCC(=O)O1
62624,0,CCCCCCCCOC(=O)C1=CC=CC=C1O
638144,4,CCOC(=O)C=CC(=O)OCC
77225,4,CCCC(OCC)OCC
5084146,1,CCCCOCC1=CC(=C(C=C1)O)OC
5318042,4,CCCC=CCO
93831,7,CCCCCCCCCC(=O)OCC=C
12255414,4,CC(C)C(C=O)C1=CC=CC=C1
62908,7,CC(C)CC(C(=O)OC)O
1201552,1,CC1CCC2C13CC=C(C(C3)C2(C)C)C
16668,0,COC1=CC=CC2=CC=CC=C21
5463936,0,CCOCC=C(C)C
12278,3,CCCC(C)OC(=O)C
4,0,CC(CN)O
9261,0,C1=CN=CC=N1
68482,3,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)O
62385,0,CC1=CC=C(C=C1)C(=C)C
7175,5,CCCOC(=O)C1=CC=C(C=C1)O
61402,3,CC(=C(C)C(=O)OCC1=CC=CC=C1)C
61453,2,CCCCCCC(OC)OC
6874,1,CC(C)CCOC(=O)C1=CC=CC=C1O
325,0,CC(C)C1=CC=C(C=C1)CO
16617,3,CCCCCC(=O)OCCC(C)C
565690,3,CC1CCC(C(C1)OC(=O)CC(C)C)C(C)C
21932488,3,CCCCC1(CCCCC1)OC(=O)C
5356787,1,CC1=CCCC(C1C=C(C)C(=O)C)(C)C
24915,3,CCCC(=O)OC(C)(C)CC1=CC=CC=C1
61985,1,CCCCCCCC(=O)OCC1=CC=CO1
68130,3,C1=COC(=O)C(=C1)O
379,6,CCCCCCCC(=O)O
6430162,0,CCCCCCCC=CCCC=O
11950,1,CCOC1=CC=CC=C1C=O
5282716,4,CCCCC=CCC(=O)O
29950,3,CCCCC(=O)OC1=CC=CC=C1
6997340,6,CCCCCC(C)CCC(=O)O
11370,5,COC1=CC=CC=C1C(=O)O
74361,0,CCCCCCC1OCC(CO1)O
5319754,4,CCC=C(C)C=O
6436368,4,CCCC=CC(=O)OCCC
15607,1,CCCCCCCCCCC(=O)OC
12178,0,CCCC(CC)O
5284503,4,CCC=CCCO
637566,1,CC(=CCCC(=CCO)C)C
7781,1,CCC(=O)OCCC(C)CCCC(=C)C
5364959,2,CCCCCC=CCO
1254,0,CC1CCC(C(C1)O)C(C)C
441644,6,CCCCCCCC1CCC(=O)O1
11419,0,CC1CCCCC1=O
5273469,1,C1=CC=C(C=C1)COC(=O)C=CC2=CC=CC=C2
12146,7,CC(=O)OC1CCCCC1
7352,0,CC(C)COC(=O)C(=C)C
5319691,0,CC(C)C(CCC(=O)C)C=CC(=C)C
10819,0,CC(=C)C1CCC(=CC1)CO
19022215,3,CCCC(=O)OCCCCO
84559,2,CCCCCCCCCCCC(OC)OC
54238690,6,CCCCCCCC=CC=CC=CC=O
5367766,1,CC=C(C)C(=O)OCC=CC1=CC=CC=C1
140045950,3,CCCCOC(=O)C1(C(O1)C)C2=CC=CC=C2
7695,3,CC(=O)OCC1=CC=C(C=C1)OC
99611,2,C1=CC=C(C=C1)C(=O)C(O)O
94454,6,CCCCCCCCCCCC(=O)OCCCCCC
5273465,7,CCCCOC(=O)C=CC1=CC=CC=C1
82650,5,CCOC(=O)CCCCCCCCCCC(=O)OCC
21003,4,C1CCC(C1)C2CCCC2=O
9017,3,CC(CCC=C(C)C)CCOC(=O)C
14508,0,CC1=CC=C(N1)C=O
523027,3,CCOC(=O)CCC(C)(OCC)OCC
86707,0,CC1C2CC(C1=O)CC2(C)C
7635,7,CCCCC(CC)COC(=O)C
21265,1,CC(=CCOC(=O)C1=CC=CC=C1)C
522131,0,CCCC(=O)CO
104425,1,CCCCCCCCCOC(=O)CC
221166,3,CCOC(=O)C(C)OC(=O)C
8186,1,CCCCCCCCCCC=O
102648,0,CC1CCC(C(C1)OC)C(C)C
94386,0,CC(C(=O)OC)O
1182,5,CC(C)C(C(=O)O)N
85826,2,CCOC(C(C)C1=CC=CC=C1)OCC
5282110,7,CC(=O)OCC=CC1=CC=CC=C1
13250020,0,CCOC(=O)C1=CC=CC=C1CO
61835,6,CCCCCCC1CCCCC(=O)O1
578423,3,CCCC(=O)OC(C)(C)C1CCC(=CC1)C
612,0,CC(C(=O)O)O
79552,0,CCCCCCC(=O)OCCC1=CC=CC=C1
118225,3,CCCC(CCCC(=O)OCC)OC(=O)C
17198,1,CC(=O)C1=CC(=C(C(=C1)OC)O)OC
8184,3,CCCCCCCCCCCO
10430,3,CC(C)CC(=O)O
87630,0,CCCCCCCC=CCO
5281531,0,CC(=CCCC1(C2CC3C1(C3C2)C)C)CO
8298,0,CC1CC(CC(C1)(C)C)O
102916,3,CCCCC(CC)C(=O)OCC
17867063,1,CC1C2=C(C=CC=C2OC1=O)C
91361,6,CCCCCCCCCCCCCC(=O)OCC(C)C
9815597,4,CCCCCCC(=O)OC(C)CCC
25045,3,CCCCCCCCCCC(C)O
81964,3,CCCCC(=O)OCCC1=CC=CC=C1
8034,7,CC(C)CCC(=O)C
6998,0,C1=CC=C(C(=C1)C=O)O
5365872,1,CC(=CCCC(=CCCC(=CCCC(C)(C=C)O)C)C)C
552119,4,CCCCOC(C)OCC
1549521,3,C1=COC(=C1)C=CC=O
5463488,3,CCCCCC=CCCC(=O)OCC
25404,3,CCCCCCCCCCC(=O)OCCCC
141710,0,CC1CCCCCCCCCCCCC(=O)O1
8026,7,CCON=O
76662,7,CCC(=O)C1=CC=CO1
6428969,7,CC=CC1=CC(=C(C=C1)OC(=O)CC(C)C)OC
58,1,CCC(=O)C(=O)O
121719,0,CC1(C2CC1C(=C)C(=O)C2)C
8141,0,CCCCCCCCC
84338,6,CCCCCCCCCCCCCC(=O)OCCC
20928,0,CCCC(C=C)O
10796756,0,C1COC(=O)C1CC=O
78122470,6,CCC=CCCCC1CCCC(=O)O1
8207,7,CCCCCCCCCCCCCO
5984,1,C(C(C(C(C(=O)CO)O)O)O)O
347077,0,C1=CC=C(C=C1)C(=O)OCCOC2=CC=CC=C2
111440,0,CC(C)CC(=O)OCCC(C)CCC=C(C)C
8129,2,CCCCCCCO
53689298,3,C1CCCOC(=O)C=CCC1
23203,2,CCCCC=CC=CC=O
9589,0,CC(=O)C1=CN=CC=C1
5370602,0,CC(C)CC=C(C=O)C1=CC=CC=C1
8918,4,CCCCCCCCCOC(=O)C
637776,1,CC=CC1=CC(=C(C=C1)OC)OC
5355333,4,CCCOC(=O)C=CC=CC
5363231,2,CC(C)CCC=CC(=O)C
6885,1,C1C2=CC=CC=C2C(=O)O1
8221,6,CCCCCCCCCCCCCCCCCCO
5463906,4,CCCCCCCC=CC(=O)OCCCC
22973762,7,CC(C)CCOC(=O)C(C)C1=CC=CC=C1
5362876,0,CC(=CCC=C(C)CCO)C
7144,1,CC1=CC(=C(C=C1)O)OC
27868,7,CCC(C)C(=O)OC1CC(CCC1C(C)C)C
36081,0,CC(=O)OC1CCC(CC1)C(C)(C)C
61342,2,CCCCCCCC(=O)OCCCCCCC
7847,0,C=CC=O
522404,3,CC(C)CCOC(=O)CCC(=O)C
21503,4,CCCCCCOC(C)OCCCCCC
5362623,4,CCC=CCC(=O)OCC
5281517,2,CC(=CCCC(=CCCC(=C)C=C)C)C
6435866,3,CC=CC(C)C(=O)O
122491,2,CCC=CCC=CC=CC=C
102495,3,CCCCCCC(C)CO
7465,0,CC(C)C1=CC=C(C=C1)O
82610,3,CCC(=O)OC1CCC(CC1)C(C)(C)C
7047,1,C1=CC=C2C(=C1)C=CC=N2
61447,7,CCCC(=O)OC(CC)C1=CC=CC=C1
8763,3,CCC(=O)OCC(COC(=O)CC)OC(=O)CC
527286,3,CCCCCCCC(=O)OCCC(C)CCC=C(C)C
12297,3,CCCCC(C)O
6366072,4,CCCCCCOC(=O)C(C)C=CC
5282730,2,CCCCCCCC=CCCC(=O)O
7894,0,CC(C)CCN
5355254,3,CCCC(=O)OCC=CC1=CC=CC=C1
5356352,3,CC=C(C)C(=O)OC
7970,2,CC1=CN=CC=C1
18698,1,CCCCC1CCCC(=O)O1
10722,1,CC1=CC=CC=C1C=O
5282725,4,CCCCCCC=CCC(=O)O
81894,7,CCCC(=O)OCCCC1=CC=CC=C1
36822,0,C1CCC2=NC=CN=C2C1
8833,3,CC(CCCC(=C)C)CCOC(=O)C
35408,7,CCCCCCCCCC(=O)OCCCC
71586960,4,CCCCCC=CCCOC(=O)C
8027,1,C1=CNC=C1
97785,2,CC(C1OCCO1)C2=CC=CC=C2
66678,1,CC1=CC2=C(C=C1)NCCC2
35821,3,CC1=CCCC(C1CCC(=O)C)(C)C
88168807,7,CC(C)CCCOC(=O)CCC(C)C
67116,1,CCOC1=C(C=C(C=C1)C=O)OC
8791,6,CCCCCCCCCCCC(=O)OCC1=CC=CC=C1
6434067,4,CCCC=CCC(=O)O
5362622,4,CCC=CCC(=O)OCC
61953,7,CC1CCC2(O1)C(=CCCC2(C)C)C
9473,1,CC(=O)OCC1=CC2=C(C=C1)OCO2
20219,3,CCCCCCCC(=O)OCC=C
86751,0,CCC(C)CCCC(C)(C)O
11191,0,CCOCC=C
62362,0,COC1=C(C=CC(=C1)CC=C)OC(=O)C2=CC=CC=C2
112553,4,CCC=CCCC1CCC(=O)O1
595928,0,CC1COC(O1)C2=CC=CC=C2
231325,3,CCCCC(=O)C1=CC=CO1
637563,1,CC=CC1=CC=C(C=C1)OC
78236,4,CCCCCC(=O)CCC
6538156,0,CC(CCC=C(C)CCC=C(C)C)C=O
6999928,6,CCCCCC(C)C(=O)O
7708,3,C1=CC=C(C=C1)COC=O
448996,7,CCCCCC(=O)C=CC
19603,2,CCCCCCCC1=CC=CO1
112491,3,CC(CCCC(C)(C)OC)C=O
19844,1,COC1=C(C=CC(=C1)C(=O)OC)O
284,0,C(=O)O
61942,0,CC(=C1CCC2(C(C1=O)O2)C)C
22311,0,CC1=CCC(CC1)C(=C)C
79187,3,CCCCCCCCC(=O)OCCCCCCCC
41923,6,CCCCCCCCCCCCCCCC=CC=O
93375,2,CC1C=C(CCC1C=O)C
101950342,2,CCCCOC(CC(C)CCCC(C)(C)O)OCCCC
25068,3,CCCCCCCCCCCC(=O)OC(C)C
61151,0,COC1=CC=CC=C1C(=O)OC
6433214,0,CCCCC=C1C(=C(C(=O)O1)C)C
75364,0,CCCCCCCCCCCCC(=O)C
84556,3,CCCC(=O)OC1=CC=C(C=C1)C
53428368,6,CCC(C)CCCCCCCCCCCCC=O
